"Title","Gross Value Added (Average) at basic prices: CP SA £m"
"CDID","ABML"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","13-02-2025"
"Next release","28 March 2025"
"Important notes",
"2006 Q1","325109"
"2006 Q2","331399"
"2006 Q3","334171"
"2006 Q4","335248"
"2007 Q1","338031"
"2007 Q2","347869"
"2007 Q3","350363"
"2007 Q4","353895"
"2008 Q1","358628"
"2008 Q2","360876"
"2008 Q3","362667"
"2008 Q4","359852"
"2009 Q1","353922"
"2009 Q2","352579"
"2009 Q3","353134"
"2009 Q4","350543"
"2010 Q1","356686"
"2010 Q2","361098"
"2010 Q3","364472"
"2010 Q4","366747"
"2011 Q1","370408"
"2011 Q2","368571"
"2011 Q3","370567"
"2011 Q4","374777"
"2012 Q1","378651"
"2012 Q2","380550"
"2012 Q3","385633"
"2012 Q4","386776"
"2013 Q1","391319"
"2013 Q2","395327"
"2013 Q3","399807"
"2013 Q4","403378"
"2014 Q1","407181"
"2014 Q2","411803"
"2014 Q3","420212"
"2014 Q4","421557"
"2015 Q1","423498"
"2015 Q2","425529"
"2015 Q3","427189"
"2015 Q4","432814"
"2016 Q1","435888"
"2016 Q2","440332"
"2016 Q3","446342"
"2016 Q4","452068"
"2017 Q1","457729"
"2017 Q2","462293"
"2017 Q3","463958"
"2017 Q4","472784"
"2018 Q1","475005"
"2018 Q2","477126"
"2018 Q3","481699"
"2018 Q4","486459"
"2019 Q1","489873"
"2019 Q2","496791"
"2019 Q3","502672"
"2019 Q4","506372"
"2020 Q1","498093"
"2020 Q2","433207"
"2020 Q3","482683"
"2020 Q4","483172"
"2021 Q1","484983"
"2021 Q2","510116"
"2021 Q3","520277"
"2021 Q4","532556"
"2022 Q1","544426"
"2022 Q2","558838"
"2022 Q3","567818"
"2022 Q4","595000"
"2023 Q1","615901"
"2023 Q2","613284"
"2023 Q3","615598"
"2023 Q4","616613"
"2024 Q1","629502"
"2024 Q2","636299"
"2024 Q3","645265"
"2024 Q4","653849"
